instnm,Institution (entity) name (HD2018),Institution name alias (HD2018),Address,City location of institution (HD2018),State abbreviation (HD2018),ZIP code (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for out-of-state students living off campus (not with family)  2018-19 (DRVIC2018),Total price for in-state students living off campus (with family)  2018-19 (DRVIC2018),Number of students receiving a Doctor's degree (DRVC2018),Number of students receiving a Master's degree (DRVC2018),Number of students receiving a Bachelor's degree (DRVC2018),Number of students receiving an Associate's degree (DRVC2018),Graduation rate,Percent of full-time first-time undergraduates awarded any financial aid (SFA1718),Average amount of aid awarded,Applicants total (ADM2018),Admissions total (ADM2018),Enrolled total (ADM2018)
Morningside College,Morningside College, ,1501 Morningside Ave,Sioux City,IA,51106-1751,45579,45579,45579,35969,0,301,280,0,51,100,20452,4385,2525,345
Morris County Vocational School District,Morris County Vocational School District,Morris County School of Technology,400 E Main St,Denville,NJ,7834,,,,,,,,0,95,67,3627,20,19,15
MotoRing Technical Training Institute,MotoRing Technical Training Institute,MTTI,54 Water Street,East Providence,RI,02914-5022,,,,,,,,0,100,100,5536,61,61,52
Motoring Technical Training Institute,Motoring Technical Training Institute,MTTI,1241 Fall River Avenue,Seekonk,MA,2771,,,,,,,,0,86,79,5589,227,226,146
Mount Aloysius College,Mount Aloysius College, ,7373 Admiral Peary Hwy,Cresson,PA,16630-1999,39258,38610,38610,28610,0,28,205,130,45,98,14496,1219,1117,254
Mount Angel Seminary,Mount Angel Seminary, ,1 Abbey Drive,Saint Benedict,OR,97373-0505,37628,37628,37628,25146,0,20,14,0,60,14,10670,4,4,3
Mount Carmel College of Nursing,Mount Carmel College of Nursing, ,127 So.  Davis Ave,Columbus,OH,43222-1504,25247,25247,25247,18647,4,51,337,0,67,93,5346,165,129,69
Mount Holyoke College,Mount Holyoke College,MHC,50 College Street,South Hadley,MA,01075-1489,66558,64098,64098,54298,0,63,558,0,83,79,34078,3699,1883,628
Mount Marty College,Mount Marty College, ,1105 W. 8th Street,Yankton,SD,57078-3724,40888,41600,41600,32188,0,60,98,16,51,100,19330,523,362,143
Mount Mary University,Mount Mary University,Mount Mary College |MMU |MMC |Women |Wisconsin,2900 N. Menomonee River Pky,Milwaukee,WI,53222-4597,46402,44614,44614,37532,22,186,147,0,51,100,23730,739,458,145
Mount Mercy University,Mount Mercy University,Mount Mercy College,1330 Elmhurst Dr NE,Cedar Rapids,IA,52402-4797,46532,45666,45666,38150,0,130,384,0,71,100,23619,1409,885,240
Mount Saint Joseph University,Mount Saint Joseph University,Mount St. Joseph University  Mount St. Joe  Mount  The Mount Mount St. Joseph University on the Ohio.,5701 Delhi Rd,Cincinnati,OH,45233-1670,41742,42100,42100,32800,53,204,244,1,53,100,18504,1832,1105,318
Mount Saint Mary College,Mount Saint Mary College,The Mount/Mount Saint Mary College,330 Powell Avenue,Newburgh,NY,12550,49076,46218,46218,34518,0,118,474,0,57,100,19402,3588,3365,388
Mount Saint Mary's University,Mount Saint Mary's University, ,12001 Chalon Rd,Los Angeles,CA,90049-1599,61287,62539,62539,49117,30,213,556,218,64,100,25362,2169,1818,405
Mount St. Mary's University,Mount St. Mary's University,Mount St. Mary's University | Mount St. Mary's|The Mount| Mount Saint Mary's University | Mount Saint Mary's,16300 Old Emmitsburg Road,Emmitsburg,MD,21727-7799,57125,52450,52450,46550,0,175,426,0,64,100,26924,5462,3721,549
Mount Vernon Nazarene University,Mount Vernon Nazarene University,MVNU,800 Martinsburg Rd,Mount Vernon,OH,43050-9500,42614,39294,39294,35144,0,134,372,11,59,99,19834,1427,1081,373
Mt Sierra College,Mt Sierra College, ,800 Royal Oaks Drive  Suite 101,Monrovia,CA,91016,,35715,35715,27471,0,0,58,0,30,100,9646,5,4,4
MTI College,MTI College, ,5221 Madison Avenue,Sacramento,CA,95841-9817,,,,,,,,46,63,82,4445,84,66,63
Muhlenberg College,Muhlenberg College, ,2400 Chew Street,Allentown,PA,18104,67535,67535,67535,56050,0,0,578,0,82,91,28632,4146,2562,548
Multnomah University,Multnomah University,Multnomah Bible College|Multnomah Biblical Seminary|MBC|MBS|Multnomah School of the Bible,8435 NE Glisan St,Portland,OR,97220,42815,42815,42815,32815,4,68,107,0,63,98,13230,256,137,71
Murray State University,Murray State University, ,218 Wells Hall,Murray,KY,42071-3318,23472,24067,39523,14877,44,561,1674,25,55,97,8881,8256,6722,1319
Musicians Institute,Musicians Institute, ,6752 Hollywood Blvd.,Hollywood,CA,90028,42255,42255,42255,30042,0,0,25,137,58,52,5532,427,323,196
Muskingum University,Muskingum University,Muskingum,163 Stormont Street,New Concord,OH,43762,42314,42144,42144,36489,0,104,343,0,51,98,21554,2175,1570,369
Naropa University,Naropa University, ,2130 Arapahoe Ave,Boulder,CO,80302-6697,50810,50810,50810,37961,0,189,103,0,42,84,24838,129,127,30
National Conservatory of Dramatic Arts,National Conservatory of Dramatic Arts, ,1556 Wisconsin Ave NW,Washington,DC,20007,,35954,35954,16117,,,,0,100,50,5970,5,4,4
National Latino Education Institute,National Latino Education Institute, ,2011 W Pershing Rd,Chicago,IL,60609-2205,,,,,,,,0,60,90,3725,11,7,7
National Louis University,National Louis University, ,122 S Michigan Ave,Chicago,IL,60603,31050,31050,31050,17550,55,883,575,88,22,93,8756,3423,2938,558
National University College,National University College, ,Carr. #2 Edificio National College Plaza,Bayamon,PR,960,,20059,20059,13407,0,401,1411,1122,34,58,5747,4397,2526,1585
Nazareth College,Nazareth College, ,4245 East Ave,Rochester,NY,14618-3790,50235,50235,50235,39705,47,264,515,0,66,100,18652,4273,2719,544
Nebraska Christian College of Hope International University,Nebraska Christian College of Hope International University, ,12550 S. 114th St.,Papillion,NE,68046,33564,34143,34143,24174,0,0,23,4,39,100,10580,161,54,36
Nebraska Methodist College of Nursing & Allied Health,Nebraska Methodist College of Nursing & Allied Health,Nebraska Methodist College,720 North 87th Street,Omaha,NE,68114-2852,32116,35360,35360,23838,12,77,187,55,63,100,5981,86,78,51
Nebraska Wesleyan University,Nebraska Wesleyan University, ,5000 St Paul Ave,Lincoln,NE,68504-2794,48324,48324,48324,38702,0,93,391,0,63,100,20873,2178,1570,487
Neighborhood Playhouse School of the Theater,Neighborhood Playhouse School of the Theater,Neighborhood Playhouse School,340 E 54th Street,New York City,NY,10022-5017,,35832,35832,18168,,,,0,100,46,8226,44,24,15
Ner Israel Rabbinical College,Ner Israel Rabbinical College, ,400 Mount Wilson Ln,Baltimore,MD,21208,23250,30740,30740,16650,13,37,51,0,49,72,11424,44,37,34
Neumann University,Neumann University,Neumann,One Neumann Drive,Aston,PA,19014-1298,47777,49396,49396,35370,40,167,443,2,47,100,19721,3112,2148,421
Neumont College of Computer Science,Neumont College of Computer Science, ,143 South Main Street,Salt Lake City,UT,84111-1917,33878,36302,36302,28990,0,0,37,0,62,94,9599,829,697,147
Nevada Regional Technical Center,Nevada Regional Technical Center, ,2015 North West Street,Nevada,MO,64772,,,,,,,,0,100,67,6008,5,5,5
Nevada State College,Nevada State College,NSC,1125 Nevada State Drive,Henderson,NV,89002,,21506,33526,12290,0,0,567,0,19,95,5756,1265,1029,465
New Castle School of Trades,New Castle School of Trades, ,4117 Pulaksi Road,New Castle,PA,16101,,,,,,,,280,74,85,4942,187,187,127
New College of Florida,New College of Florida, ,5800 Bay Shore Road,Sarasota,FL,34243-2109,20650,25181,48209,11386,0,7,177,0,60,100,11217,1340,1029,192
New England College,New England College,NEC,98 Bridge St,Henniker,NH,3242,55386,52864,52864,41664,12,648,184,26,25,95,24489,2922,2916,389
New England School of Photography,New England School of Photography,NESOP,274 Moody Street,Waltham,MA,2453,,46280,46280,32200,,,,0,71,81,4407,48,37,22
New Hampshire Institute of Art,New Hampshire Institute of Art, ,148 Concord St,Manchester,NH,03104-4858,44840,44840,44840,33380,0,34,66,0,47,100,11276,645,234,67
New Hope Christian College-Eugene,New Hope Christian College-Eugene, ,2155 Bailey Hill Rd,Eugene,OR,97405,25930,27930,27930,19630,0,3,18,1,21,100,8061,29,29,21
New Jersey City University,New Jersey City University, ,2039 Kennedy Blvd,Jersey City,NJ,7305,32076,32076,41598,19534,21,442,1392,0,39,95,10715,4315,4136,968
New Jersey Institute of Technology,New Jersey Institute of Technology,NJIT,University Heights,Newark,NJ,7102,37738,40238,55650,26338,73,1068,1616,0,65,92,14602,8123,5171,1286
New Mexico Institute of Mining and Technology,New Mexico Institute of Mining and Technology,New Mexico Tech |New Mexico School of Mines,801 Leroy Place,Socorro,NM,87801,22410,22410,36908,13900,14,88,275,1,56,97,6673,1740,403,302
New Mexico Military Institute,New Mexico Military Institute,NMMI,101 W.  College Blvd.,Roswell,NM,88201-5173,13206,,,,,,,129,39,97,7978,834,312,241
New Mexico State University-Main Campus,New Mexico State University-Main Campus,NMSU,2850 Weddell Street,Las Cruces,NM,88003-8001,21380,21286,36370,12128,138,690,2322,20,47,99,12028,9635,6326,2264
New Saint Andrews College,New Saint Andrews College,NSA,405 S. Main Street,Moscow,ID,83843-1525,,20250,20250,16050,0,4,22,4,64,0,,62,61,49
New York Conservatory for Dramatic Arts,New York Conservatory for Dramatic Arts,School for Film and Television (The),39 W 19th Street Fl2,New York,NY,10011-4225,,55802,55802,37202,,,,97,81,100,17158,307,291,106
New York Institute of Technology,New York Institute of Technology,NYIT,Northern Blvd,Old Westbury,NY,11568-8000,58496,56384,56384,42534,325,1018,855,4,51,99,25949,9145,6927,889
New York School of Interior Design,New York School of Interior Design,NYSID  NY School of Interior Design,170 East 70th Street,New York,NY,10021,51734,51734,51734,30434,0,84,32,19,63,69,8345,285,62,18
New York University,New York University, ,70 Washington Sq South,New York,NY,10012-1091,73566,73566,73566,55410,1449,8672,6319,71,85,51,29832,71834,14359,6173
Newberry College,Newberry College, ,2100 College St,Newberry,SC,29108,41199,39073,39073,30533,0,0,217,0,51,100,19956,2264,1502,353
Newbury College,Newbury College, ,129 Fisher Ave,Brookline,MA,2445,54040,48640,48640,40640,0,0,115,13,31,100,26393,3038,2332,197
Newman University,Newman University, ,3100 McCormick Ave,Wichita,KS,67213-2097,43988,46300,46300,35662,0,179,244,55,54,100,23239,1129,698,183
Newschool of Architecture and Design,Newschool of Architecture and Design, ,1249 F St,San Diego,CA,92101,,51315,51315,37497,0,37,90,0,38,71,5770,67,67,22
Niagara University,Niagara University, ,Lewiston Road,Niagara University,NY,14109,49830,49280,49280,38530,15,326,834,5,71,99,24974,3105,2690,515
Nicholls State University,Nicholls State University, ,University Station  La Hwy 1,Thibodaux,LA,70310,23118,23634,24727,14204,0,223,946,222,45,95,8142,2651,2484,1301
Nichols College,Nichols College,Nichols,Center Rd,Dudley,MA,01571-5000,52550,45600,45600,39100,0,126,286,3,55,100,21260,2435,2003,355
Norfolk State University,Norfolk State University,Norfolk State; NSU,700 Park Avenue,Norfolk,VA,23504-8000,24995,24995,36163,14635,12,213,729,2,37,97,10124,7442,6675,1098
North Carolina A & T State University,North Carolina A & T State University,NCAT,1601 E Market  St,Greensboro,NC,27411,18136,18136,31346,10512,57,422,1661,0,53,97,8193,11088,6811,2204
North Carolina Central University,North Carolina Central University, ,1801 Fayetteville Street,Durham,NC,27707,24419,24819,37526,14569,134,459,1018,0,46,97,10223,13019,6072,1143
North Carolina State University at Raleigh,North Carolina State University at Raleigh,NC State University | NC State | N C State University | N C State | NCSU,2101 Hillsborough Street,Raleigh,NC,27695-7001,23977,23977,43320,17263,631,2654,5428,114,81,70,10332,30350,14219,4952
North Carolina Wesleyan College,North Carolina Wesleyan College, ,3400 N Wesleyan Blvd,Rocky Mount,NC,27804,44050,42550,42550,33550,0,0,538,0,29,99,25548,3136,1969,379
North Central College,North Central College,NCC|North Central|Cardinals|North Central University|University of Naperville|Naperville University,30 N Brainard St,Naperville,IL,60540,52728,54906,54906,42732,0,83,668,0,68,100,24670,6625,3689,550
North Central University,North Central University, ,910 Elliot Ave,Minneapolis,MN,55404-1391,36454,36454,36454,32754,0,10,196,5,54,100,13183,542,488,220
North Dakota State University-Main Campus,North Dakota State University-Main Campus,North Dakota State University  NDSU,1301  12th Avenue North,Fargo,ND,58108-6050,22436,22436,26415,14852,212,434,2409,0,58,90,5149,5599,5181,2275
North Greenville University,North Greenville University, ,7801 N. Tigerville Road,Tigerville,SC,29688-1892,36682,36718,36718,26960,7,62,466,0,54,99,15750,2021,1205,508
North Park University,North Park University, ,3225 W Foster Ave,Chicago,IL,60625-4895,43005,43505,43505,34060,0,225,533,0,60,99,16831,4528,2109,421
North-West College-West Covina,North-West College-West Covina, ,2121 W Garvey Ave,West Covina,CA,91790,,,,,,,,9,60,99,4546,178,178,138
Northeast Catholic College,Northeast Catholic College, ,511 Kearsarge Mountain Road,Warner,NH,03278-4012,34756,33300,33300,25300,0,0,10,3,69,100,22514,132,52,24
Northeastern Illinois University,Northeastern Illinois University, ,5500 N Saint Louis Ave,Chicago,IL,60625-4699,31531,23473,32981,18478,0,482,1505,0,21,85,6266,5968,3320,451
Northeastern State University,Northeastern State University,NSU,600 N Grand,Tahlequah,OK,74464-2399,17666,20722,28792,11802,27,291,1413,0,35,94,7019,1787,1743,860
Northeastern University,Northeastern University, ,360 Huntington Ave,Boston,MA,02115-5005,70592,71202,71202,54322,576,2562,3938,0,88,77,33662,62272,12042,2746
Northern Arizona University,Northern Arizona University,NAU,1900 S Knoles Dr  Babbitt Administrative Center  Room 200,Flagstaff,AZ,86011-4092,27266,27538,41802,17204,174,1198,5937,0,52,94,10562,36831,30428,5869
Northern Illinois University,Northern Illinois University, ,1425 W. Lincoln Hwy.,Dekalb,IL,60115-2828,29117,29117,29117,19311,236,1390,3408,0,46,95,9959,14157,7698,1856
Northern Kentucky University,Northern Kentucky University,NKU,Nunn Drive,Highland Heights,KY,41099,23244,26108,35756,13332,145,442,2142,62,42,99,8941,5995,5351,1980
Northern Michigan University,Northern Michigan University, ,1401 Presque Isle Avenue,Marquette,MI,49855-5301,24187,24187,29683,14975,0,138,1212,209,47,93,8455,7607,5001,1624
Northern State University,Northern State University,NSU,1200 S Jay St,Aberdeen,SD,57401-7198,21826,22747,25720,13797,0,48,303,19,48,97,4779,1068,941,339
Northern Tier Career Center,Northern Tier Career Center, ,120 Career Center Lane,Towanda,PA,18848-9731,,,,,,,,0,53,96,5278,43,31,23
Northern Vermont University,Northern Vermont University, ,337 College Hill,Johnson,VT,05656-9464,25424,25424,38744,17804,0,45,486,39,39,99,8648,2265,1908,418
Northland College,Northland College, ,1411 Ellis Avenue,Ashland,WI,54806-3999,48809,48809,48809,39633,0,0,118,0,54,99,27285,2506,1277,145
Northwest Christian University,Northwest Christian University,NCU,828 E. 11th Ave.,Eugene,OR,97401-3745,42650,43100,43100,33800,0,97,164,2,46,100,17813,479,299,100
Northwest HVAC/R Training Center,Northwest HVAC/R Training Center, ,204 E. Nora Ave,Spokane,WA,99207,,,,,,,,0,61,85,5198,68,60,41
Northwest Missouri State University,Northwest Missouri State University,Northwest,800 University Drive,Maryville,MO,64468-6001,19751,19751,25073,10819,0,387,976,45,49,98,7964,6049,4788,1338
Northwest Nazarene University,Northwest Nazarene University,Northwest Nazarene University/Northwest Nazarene College/NNU/NNC/Northwest Nazarene University,623 S. University Blvd.,Nampa,ID,83686-5897,40890,43210,43210,34650,23,190,295,3,59,100,20181,1046,742,278
Northwest University,Northwest University, ,5520 108th Ave NE,Kirkland,WA,98083-0579,43440,46470,46470,35350,12,122,220,4,55,98,18640,501,477,250
Northwestern College,Northwestern College, ,101 Seventh St SW,Orange City,IA,51041,44600,44600,44600,35400,0,44,261,0,69,100,19252,1316,940,271
Northwestern Oklahoma State University,Northwestern Oklahoma State University,NWOSU|Northwestern Okla State|Northwestern Oklahoma State|,709 Oklahoma Blvd,Alva,OK,73717-2799,16951,16747,23834,10871,0,48,319,0,30,90,6289,1170,730,373
Northwestern State University of Louisiana,Northwestern State University of Louisiana,NSU | NSULA | Northwestern State University | Northwestern | NwSU,175 Sam Sibley Drive,Natchitoches,LA,71497-0002,22672,23532,34320,14102,5,302,1146,304,45,97,10065,4444,3643,1560
Northwestern University,Northwestern University, ,633 Clark St,Evanston,IL,60208,74649,74649,74649,59572,941,4380,2099,0,95,66,45427,40425,3422,1931
Northwood University,Northwood University,NU,4000 Whiting Dr,Midland,MI,48640-2398,41670,42668,42668,32650,0,229,863,18,49,99,17327,1445,976,263
Norwich University,Norwich University, ,158 Harmon Drive,Northfield,VT,05663-1035,58054,58054,58054,44214,0,558,703,0,62,100,29283,4344,2863,714
Nossi College of Art,Nossi College of Art, ,590 Cheron Rd,Madison,TN,37115,,27100,27100,21700,0,0,25,12,91,97,2911,590,290,124
Notre Dame College,Notre Dame College, ,4545 College Rd,Cleveland,OH,44121-4293,45150,45150,45150,34650,0,67,269,1,42,100,20533,2376,2130,297
Notre Dame de Namur University,Notre Dame de Namur University,NDNU,1500 Ralston Ave,Belmont,CA,94002-1908,56288,56210,56210,42350,3,204,247,0,49,98,25095,2062,1681,179
Notre Dame of Maryland University,Notre Dame of Maryland University, ,4701 N Charles St,Baltimore,MD,21210-2476,51670,53457,53457,44584,59,325,229,0,53,98,28552,1310,1148,226
Nova Southeastern University,Nova Southeastern University, ,3301 College Ave,Fort Lauderdale,FL,33314-7796,50597,58549,58549,40441,1877,3088,1275,1,50,100,21435,8946,7026,1248
Nyack College,Nyack College, ,1 South Blvd,Nyack,NY,10960-3698,40497,42225,42225,32565,21,239,318,16,42,100,18774,458,450,200
Oak Hills Christian College,Oak Hills Christian College,OHCC,1600 Oak Hills Rd SW,Bemidji,MN,56601-8834,30478,30288,30288,22934,0,0,17,6,38,100,11561,79,29,26
Oakland City University,Oakland City University, ,138 N Lucretia St,Oakland City,IN,47660-1099,38968,35845,35845,29068,20,76,115,61,57,100,21086,1010,502,140
Oakland University,Oakland University,Oakland|OU|O.U.,2200 North Squirrel Road,Rochester Hills,MI,48309-4401,25524,24298,35922,17790,206,774,3304,0,55,92,9322,12309,10328,2700
Oakwood University,Oakwood University, ,7000 Adventist Blvd NW,Huntsville,AL,35896,38762,37222,37222,27622,0,5,306,4,48,100,10447,1706,1124,318
Oberlin College,Oberlin College, ,70 N Professor St,Oberlin,OH,44074,74636,71802,71802,58968,0,8,733,0,86,87,27901,7525,2725,805
Occidental College,Occidental College,Oxy,1600 Campus Rd,Los Angeles,CA,90041-3392,74132,,,,0,0,509,0,85,75,34583,7281,2716,566
Oglethorpe University,Oglethorpe University,Oglethorpe,4484 Peachtree Road  NE,Atlanta,GA,30319-2797,55250,56500,56500,43300,0,0,204,0,54,100,29440,2203,1358,329
Ohio Dominican University,Ohio Dominican University,ODU,1216 Sunbury Road,Columbus,OH,43219,45220,43748,43748,36272,0,215,229,24,50,100,22254,1550,1168,260
Ohio Northern University,Ohio Northern University,Northern|ONU,525 S. Main St,Ada,OH,45810-1599,47711,47711,47711,36061,210,45,403,0,72,99,22551,4334,2960,682
Ohio State University-Main Campus,Ohio State University-Main Campus, ,190 N. Oval Mall,Columbus,OH,43210,27367,26433,46449,17023,1662,2732,10761,1,84,82,10273,48077,24988,7944
Ohio University-Main Campus,Ohio University-Main Campus, ,020 Chubb Hall,Athens,OH,45701-2979,28986,28986,38450,18562,375,1838,6917,83,64,94,6489,23385,18311,3980
Ohio Valley Hospital School of Nursing,Ohio Valley Hospital School of Nursing, ,25 Heckel Rd,McKees Rocks,PA,15136,,25800,25800,18800,,,,0,80,100,2885,38,28,10
Ohio Valley University,Ohio Valley University, ,1 Campus View Drive,Vienna,WV,26105-8000,32880,32880,32880,24700,0,13,79,9,46,100,14048,610,210,79
Ohio Wesleyan University,Ohio Wesleyan University,OWU,61 S Sandusky Street,Delaware,OH,43015-2370,61910,55460,55460,48960,0,0,339,0,67,100,31923,4705,3246,453
Oikos University,Oikos University, ,7850 Edgewater Drive,Oakland,CA,94621-2041,,19654,19654,8838,0,5,2,0,,0,,7,3,2
Oklahoma Baptist University,Oklahoma Baptist University, ,500 W University,Shawnee,OK,74804,41576,41576,41576,33958,0,46,366,0,52,100,19413,4334,2787,527
Oklahoma Christian University,Oklahoma Christian University,OC  Oklahoma Christian  OCUSA  Oklahoma Christian University of Science and Arts  OCC  Oklahoma Christian College,2501 E Memorial Rd,Edmond,OK,73013,36605,36605,36605,28415,0,319,393,0,57,100,14194,2452,1588,454
Oklahoma City University,Oklahoma City University, ,2501 N Blackwelder,Oklahoma City,OK,73106-1402,44172,44172,44172,35276,139,298,562,0,64,98,18172,1755,1337,373
Oklahoma State University-Main Campus,Oklahoma State University-Main Campus, ,107 Whitehurst,Stillwater,OK,74078-1015,24105,24105,39625,15109,322,1051,4398,0,61,91,9878,14405,10629,4166
Oklahoma Wesleyan University,Oklahoma Wesleyan University,OKWU or OWU,2201 Silver Lake Rd,Bartlesville,OK,74006-6299,40306,40306,40306,31962,0,71,226,39,38,100,12848,2454,1662,192
Old Dominion University,Old Dominion University,ODU  Old Dominion,5115 Hampton Blvd,Norfolk,VA,23529,26456,26456,45356,14836,231,993,3873,0,52,93,7692,13335,11600,3176
Olivet College,Olivet College,OC Comets,320 South Main Street,Olivet,MI,49076,41236,41236,41236,31646,0,13,179,0,48,100,17992,1401,999,306
Olivet Nazarene University,Olivet Nazarene University, ,One University Avenue,Bourbonnais,IL,60914-2271,47670,50620,50620,40370,26,685,756,0,61,100,25347,4053,2637,692
Oral Roberts University,Oral Roberts University,ORU,7777 S Lewis Ave.,Tulsa,OK,74171,42660,42975,42975,33210,13,84,499,0,57,90,18896,2867,2308,520
Orange Ulster BOCES-Practical Nursing Program,Orange Ulster BOCES-Practical Nursing Program, ,4 Harriman Drive,Goshen,NY,10924,,,,,,,,0,93,82,7514,15,14,13
Oregon College of Art and Craft,Oregon College of Art and Craft,OCAC,8245 SW Barnes Rd,Portland,OR,97225,49015,49015,49015,39015,0,11,21,0,37,100,17091,66,65,16
Oregon Institute of Technology,Oregon Institute of Technology,OIT|Oregon Tech,3201 Campus Drive,Klamath Falls,OR,97601-8801,24252,26408,44958,14193,0,18,663,32,52,88,6119,939,900,364
Oregon State University,Oregon State University, ,1500 SW Jefferson Avenue,Corvallis,OR,97331,26892,27339,46314,14970,359,887,5240,0,67,86,8170,14890,12006,3674
Oregon State University-Cascades Campus,Oregon State University-Cascades Campus, ,1500 SW Chandler Avenue,Bend,OR,97702,25884,26331,45576,13980,19,47,276,0,,83,6805,477,372,101
Orleans Niagara BOCES-Practical Nursing Program,Orleans Niagara BOCES-Practical Nursing Program, ,3181 Saunders Settlement Rd,Sanborn,NY,14132,,,,,,,,0,33,100,5803,69,32,11
Orleans Technical College,Orleans Technical College, ,2770 Red Lion Road,Philadelphia,PA,19114-1014,,,,,,,,9,74,96,6788,143,61,36
Otis College of Art and Design,Otis College of Art and Design,Otis Art Institute  Otis Parsons  Otis/Parsons,9045 Lincoln Blvd,Los Angeles,CA,90045-3505,66160,62860,62860,52110,0,27,278,0,57,76,18008,1806,1705,277
Ottawa University-Online,Ottawa University-Online,OU Online |Online,1001 South Cedar,Ottawa,KS,66067,,,,,0,24,81,0,,,,30,29,17
Ottawa University-Ottawa,Ottawa University-Ottawa,OUKS - Ottawa,1001 South Cedar,Ottawa,KS,66067-3399,44460,43390,43390,34140,0,15,101,0,45,100,16682,357,279,244
Ottawa University-Surprise,Ottawa University-Surprise,Surprise |OU-Surprise,15950 N. Civic Center Plaza,Surprise,AZ,85374,44295,,,,0,0,0,0,,100,14766,1173,547,243
Otterbein University,Otterbein University, ,1 South Grove Street,Westerville,OH,43081,46908,45728,45728,37132,2,142,454,0,62,100,20238,2919,2365,579
Ouachita Baptist University,Ouachita Baptist University,OBU,410 Ouachita St,Arkadelphia,AR,71998-0001,38770,39120,39120,30820,0,0,314,16,64,100,18670,2162,1375,443
Our Lady of the Lake University,Our Lady of the Lake University,OLLU,411 SW 24th St.,San Antonio,TX,78207-4689,43168,43168,43168,33240,28,548,287,0,37,99,21294,4373,4055,374
Ozark Christian College,Ozark Christian College, ,1111 N Main St,Joplin,MO,64801,22178,23984,23984,16632,0,0,121,23,52,100,6709,384,221,134
Pace University,Pace University,Pace University,1 Pace Plaza,New York,NY,10038-1598,66499,68494,68494,49220,223,1500,1746,24,56,97,29580,21520,16327,2013
Pacific College,Pacific College, ,3160 Red Hill Ave,Costa Mesa,CA,92626,,,,,0,0,30,114,67,39,4305,20,12,8
Pacific Islands University,Pacific Islands University, ,172 Kinney's Road,Mangilao,GU,96913,12411,20190,20190,9890,0,0,13,7,36,100,9544,20,16,16
Pacific Lutheran University,Pacific Lutheran University,PLU,12180 Park Ave South,Tacoma,WA,98447-0003,56784,56514,56514,46546,8,131,603,0,67,99,29317,3740,2984,649
Pacific Northwest College of Art,Pacific Northwest College of Art, ,511 NW Broadway,Portland,OR,97209-3404,55410,55410,55410,42340,0,43,96,0,43,100,20111,1144,1065,131
Pacific Oaks College,Pacific Oaks College, ,55 Eureka Street,Pasadena,CA,91103,,29696,29696,16520,0,226,243,0,,,,475,147,24
Pacific Rim Christian University,Pacific Rim Christian University, ,2223 Hoonee Pl.,Honolulu,HI,96819-2228,21877,19923,19923,15872,0,5,14,7,29,94,2797,40,28,22
Pacific Union College,Pacific Union College,PUC,One Angwin Ave,Angwin,CA,94508-9707,43527,50028,50028,36490,0,0,247,115,55,100,19603,1790,885,163
Pacific University,Pacific University,Pacific|PU|Pac U|PacificU|Pacific University Oregon,2043 College Way,Forest Grove,OR,97116,59490,59490,59490,46962,336,394,469,0,65,100,27151,2491,2125,421
Paine College,Paine College, ,1235 15th St,Augusta,GA,30901-3182,26782,26782,26782,19250,0,0,74,0,27,100,10138,3686,1464,203
Palm Beach Atlantic University,Palm Beach Atlantic University,Palm Beach Atlantic |PBA,901 S. Flagler Drive,West Palm Beach,FL,33401,48914,48924,48924,39782,92,191,512,0,53,100,20575,1444,1376,526
Paroba College of Cosmetology,Paroba College of Cosmetology, ,9930 Evergreen Way  Building Y,Everett,WA,98203,,,,,,,,0,79,95,5594,70,61,34
Paul Quinn College,Paul Quinn College, ,3837 Simpson Stuart Rd,Dallas,TX,75241,19020,19120,19120,12520,0,0,41,0,20,100,5775,696,627,127
Paul Smiths College of Arts and Science,Paul Smiths College of Arts and Science,Paul Smith's College,7777 State Route 30,Paul Smiths,NY,12970-0265,45792,45792,45792,31952,0,0,155,61,51,99,18208,1143,985,185
Penn Commercial Business/Technical School,Penn Commercial Business/Technical School,Penn Commercial  |Penn Commercial Business/Technical School,242 Oak Spring Road,Washington,PA,15301-6822,,32389,32389,25639,,,,37,95,100,5226,165,132,73
Pennsylvania Academy of the Fine Arts,Pennsylvania Academy of the Fine Arts,PAFA,128 N. Broad Street,Philadelphia,PA,19102-1510,61071,61071,61071,44591,0,42,24,0,52,100,18181,173,156,34
Pennsylvania College of Art and Design,Pennsylvania College of Art and Design, ,204 N Prince St,Lancaster,PA,17608-0059,38782,37092,37092,30919,0,0,44,0,59,100,7477,301,131,54
Pennsylvania College of Health Sciences,Pennsylvania College of Health Sciences,PA College,850 Greenfield Road,Lancaster,PA,17601,,45412,45412,34612,0,37,130,250,66,89,10786,297,221,92
Pennsylvania State University-Main Campus,Pennsylvania State University-Main Campus,Penn State,201 Old Main,University Park,PA,16802-1503,36652,36652,53056,24398,792,1358,10720,7,85,65,10107,52742,29793,8075
Pennsylvania State University-Penn State Abington,Pennsylvania State University-Penn State Abington,Penn State,1600 Woodland Road,Abington,PA,19001-3918,32722,32722,41476,20468,0,0,671,17,54,72,8089,4545,3852,1050
Pennsylvania State University-Penn State Altoona,Pennsylvania State University-Penn State Altoona,Penn State,3000 Ivyside Park,Altoona,PA,16601-3777,33396,33396,42648,21142,0,0,308,13,64,81,7821,4486,4077,1141
